Group,Step1,Question1,Tip1,Step2,Question2,Tip2,Step3,Question3,Tip3,price,image_url
10,Building ages,Are there buildings that appear to have been built at different time periods?,At least one counted building must appear to be built in a different time period,Buildings,Count visible different buildings,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually",Proportion of historic building,Estimate the proportion of historic buildings,"Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)",0.07,https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg
10,Building ages,Are there buildings that appear to have been built at different time periods?,At least one counted building must appear to be built in a different time period,Buildings,Count visible different buildings,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually",Proportion of historic building,Estimate the proportion of historic buildings,"Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)",0.07,https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg
10,Building ages,Are there buildings that appear to have been built at different time periods?,At least one counted building must appear to be built in a different time period,Buildings,Count visible different buildings,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually",Proportion of historic building,Estimate the proportion of historic buildings,"Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)",0.07,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg
10,Building ages,Are there buildings that appear to have been built at different time periods?,At least one counted building must appear to be built in a different time period,Buildings,Count visible different buildings,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually",Proportion of historic building,Estimate the proportion of historic buildings,"Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)",0.07,https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg
10,Building ages,Are there buildings that appear to have been built at different time periods?,At least one counted building must appear to be built in a different time period,Buildings,Count visible different buildings,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually",Proportion of historic building,Estimate the proportion of historic buildings,"Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)",0.07,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg
10,Building ages,Are there buildings that appear to have been built at different time periods?,At least one counted building must appear to be built in a different time period,Buildings,Count visible different buildings,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually",Proportion of historic building,Estimate the proportion of historic buildings,"Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)",0.07,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_270.jpg
10,Building ages,Are there buildings that appear to have been built at different time periods?,At least one counted building must appear to be built in a different time period,Buildings,Count visible different buildings,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually",Proportion of historic building,Estimate the proportion of historic buildings,"Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)",0.07,https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg
10,Building ages,Are there buildings that appear to have been built at different time periods?,At least one counted building must appear to be built in a different time period,Buildings,Count visible different buildings,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually",Proportion of historic building,Estimate the proportion of historic buildings,"Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)",0.07,https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_270.jpg
10,Building ages,Are there buildings that appear to have been built at different time periods?,At least one counted building must appear to be built in a different time period,Buildings,Count visible different buildings,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually",Proportion of historic building,Estimate the proportion of historic buildings,"Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)",0.07,https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg
10,Building ages,Are there buildings that appear to have been built at different time periods?,At least one counted building must appear to be built in a different time period,Buildings,Count visible different buildings,"Visible buildings: buildings that can be distinguished by separate doors/entrances (especially for residential), architecture, colors, and so forth|If the brownstones can be distinguished by different doors, different colors, different ornamentation, and so forth, count them individually",Proportion of historic building,Estimate the proportion of historic buildings,"Historic: clearly determined to be pre–World War II: high detailing, dumbbell shape, iron fire escape, and so forth; post–World War II buildings are usually geometrically and architecturally simple (though they may be impressive), have lots of glass surface area, and little detailing|If there is no clear indicator that the building is historic, then you cannot count it as such|Record the estimate as a decimal using increments of tenths (0.10)",0.07,https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg
