Group,Step1,Question1,Tip1,Step2,Question2,Tip2,Step3,Question3,Tip3,image_url
1,Street Width,Estimate the street width,"Street width includes frontage roads and parking aisles. Assume that a typical parking lane is 8 feet (2.43 meters) and a typical travel lane is 12 feet (3.65 meters)|If the median between a one-way pair is more than 50 feet (15.24 m) wide, treat each couple as separate streets. Only consider the width of the adjacent half street",Sidewalk Width,Estimate the total sidewalk width for each side of the street,"If the sidewalk width varies, estimate the average width|Put a zero if you cannot see the sidewalk",Pieces of public art,Count individual pieces of art that are within study area or intended for viewing from the sidewalk/path,"Public art: monuments, sculptures, murals, and any artistic display that has free access. Art must be the size of a small person or have clear identification indicating its status as art (creator, dedication, year, materials, etc.)|If the art can be isolated as a specific artistic element of a facade, the building counts as one instance of public art|If the art is in someone's property, but it is visible to the passing pedestrian and it has free access, it can be considered public art|Small fountains and graffiti murals would be included, but simple chalk drawings and graffiti tags would not be included",https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg
1,Street Width,Estimate the street width,"Street width includes frontage roads and parking aisles. Assume that a typical parking lane is 8 feet (2.43 meters) and a typical travel lane is 12 feet (3.65 meters)|If the median between a one-way pair is more than 50 feet (15.24 m) wide, treat each couple as separate streets. Only consider the width of the adjacent half street",Sidewalk Width,Estimate the total sidewalk width for each side of the street,"If the sidewalk width varies, estimate the average width|Put a zero if you cannot see the sidewalk",Pieces of public art,Count individual pieces of art that are within study area or intended for viewing from the sidewalk/path,"Public art: monuments, sculptures, murals, and any artistic display that has free access. Art must be the size of a small person or have clear identification indicating its status as art (creator, dedication, year, materials, etc.)|If the art can be isolated as a specific artistic element of a facade, the building counts as one instance of public art|If the art is in someone's property, but it is visible to the passing pedestrian and it has free access, it can be considered public art|Small fountains and graffiti murals would be included, but simple chalk drawings and graffiti tags would not be included",https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__270.jpg
1,Street Width,Estimate the street width,"Street width includes frontage roads and parking aisles. Assume that a typical parking lane is 8 feet (2.43 meters) and a typical travel lane is 12 feet (3.65 meters)|If the median between a one-way pair is more than 50 feet (15.24 m) wide, treat each couple as separate streets. Only consider the width of the adjacent half street",Sidewalk Width,Estimate the total sidewalk width for each side of the street,"If the sidewalk width varies, estimate the average width|Put a zero if you cannot see the sidewalk",Pieces of public art,Count individual pieces of art that are within study area or intended for viewing from the sidewalk/path,"Public art: monuments, sculptures, murals, and any artistic display that has free access. Art must be the size of a small person or have clear identification indicating its status as art (creator, dedication, year, materials, etc.)|If the art can be isolated as a specific artistic element of a facade, the building counts as one instance of public art|If the art is in someone's property, but it is visible to the passing pedestrian and it has free access, it can be considered public art|Small fountains and graffiti murals would be included, but simple chalk drawings and graffiti tags would not be included",https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg
1,Street Width,Estimate the street width,"Street width includes frontage roads and parking aisles. Assume that a typical parking lane is 8 feet (2.43 meters) and a typical travel lane is 12 feet (3.65 meters)|If the median between a one-way pair is more than 50 feet (15.24 m) wide, treat each couple as separate streets. Only consider the width of the adjacent half street",Sidewalk Width,Estimate the total sidewalk width for each side of the street,"If the sidewalk width varies, estimate the average width|Put a zero if you cannot see the sidewalk",Pieces of public art,Count individual pieces of art that are within study area or intended for viewing from the sidewalk/path,"Public art: monuments, sculptures, murals, and any artistic display that has free access. Art must be the size of a small person or have clear identification indicating its status as art (creator, dedication, year, materials, etc.)|If the art can be isolated as a specific artistic element of a facade, the building counts as one instance of public art|If the art is in someone's property, but it is visible to the passing pedestrian and it has free access, it can be considered public art|Small fountains and graffiti murals would be included, but simple chalk drawings and graffiti tags would not be included",https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__270.jpg
1,Street Width,Estimate the street width,"Street width includes frontage roads and parking aisles. Assume that a typical parking lane is 8 feet (2.43 meters) and a typical travel lane is 12 feet (3.65 meters)|If the median between a one-way pair is more than 50 feet (15.24 m) wide, treat each couple as separate streets. Only consider the width of the adjacent half street",Sidewalk Width,Estimate the total sidewalk width for each side of the street,"If the sidewalk width varies, estimate the average width|Put a zero if you cannot see the sidewalk",Pieces of public art,Count individual pieces of art that are within study area or intended for viewing from the sidewalk/path,"Public art: monuments, sculptures, murals, and any artistic display that has free access. Art must be the size of a small person or have clear identification indicating its status as art (creator, dedication, year, materials, etc.)|If the art can be isolated as a specific artistic element of a facade, the building counts as one instance of public art|If the art is in someone's property, but it is visible to the passing pedestrian and it has free access, it can be considered public art|Small fountains and graffiti murals would be included, but simple chalk drawings and graffiti tags would not be included",https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__270.jpg
1,Street Width,Estimate the street width,"Street width includes frontage roads and parking aisles. Assume that a typical parking lane is 8 feet (2.43 meters) and a typical travel lane is 12 feet (3.65 meters)|If the median between a one-way pair is more than 50 feet (15.24 m) wide, treat each couple as separate streets. Only consider the width of the adjacent half street",Sidewalk Width,Estimate the total sidewalk width for each side of the street,"If the sidewalk width varies, estimate the average width|Put a zero if you cannot see the sidewalk",Pieces of public art,Count individual pieces of art that are within study area or intended for viewing from the sidewalk/path,"Public art: monuments, sculptures, murals, and any artistic display that has free access. Art must be the size of a small person or have clear identification indicating its status as art (creator, dedication, year, materials, etc.)|If the art can be isolated as a specific artistic element of a facade, the building counts as one instance of public art|If the art is in someone's property, but it is visible to the passing pedestrian and it has free access, it can be considered public art|Small fountains and graffiti murals would be included, but simple chalk drawings and graffiti tags would not be included",https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__180.jpg
1,Street Width,Estimate the street width,"Street width includes frontage roads and parking aisles. Assume that a typical parking lane is 8 feet (2.43 meters) and a typical travel lane is 12 feet (3.65 meters)|If the median between a one-way pair is more than 50 feet (15.24 m) wide, treat each couple as separate streets. Only consider the width of the adjacent half street",Sidewalk Width,Estimate the total sidewalk width for each side of the street,"If the sidewalk width varies, estimate the average width|Put a zero if you cannot see the sidewalk",Pieces of public art,Count individual pieces of art that are within study area or intended for viewing from the sidewalk/path,"Public art: monuments, sculptures, murals, and any artistic display that has free access. Art must be the size of a small person or have clear identification indicating its status as art (creator, dedication, year, materials, etc.)|If the art can be isolated as a specific artistic element of a facade, the building counts as one instance of public art|If the art is in someone's property, but it is visible to the passing pedestrian and it has free access, it can be considered public art|Small fountains and graffiti murals would be included, but simple chalk drawings and graffiti tags would not be included",https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__0.jpg
1,Street Width,Estimate the street width,"Street width includes frontage roads and parking aisles. Assume that a typical parking lane is 8 feet (2.43 meters) and a typical travel lane is 12 feet (3.65 meters)|If the median between a one-way pair is more than 50 feet (15.24 m) wide, treat each couple as separate streets. Only consider the width of the adjacent half street",Sidewalk Width,Estimate the total sidewalk width for each side of the street,"If the sidewalk width varies, estimate the average width|Put a zero if you cannot see the sidewalk",Pieces of public art,Count individual pieces of art that are within study area or intended for viewing from the sidewalk/path,"Public art: monuments, sculptures, murals, and any artistic display that has free access. Art must be the size of a small person or have clear identification indicating its status as art (creator, dedication, year, materials, etc.)|If the art can be isolated as a specific artistic element of a facade, the building counts as one instance of public art|If the art is in someone's property, but it is visible to the passing pedestrian and it has free access, it can be considered public art|Small fountains and graffiti murals would be included, but simple chalk drawings and graffiti tags would not be included",https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg
1,Street Width,Estimate the street width,"Street width includes frontage roads and parking aisles. Assume that a typical parking lane is 8 feet (2.43 meters) and a typical travel lane is 12 feet (3.65 meters)|If the median between a one-way pair is more than 50 feet (15.24 m) wide, treat each couple as separate streets. Only consider the width of the adjacent half street",Sidewalk Width,Estimate the total sidewalk width for each side of the street,"If the sidewalk width varies, estimate the average width|Put a zero if you cannot see the sidewalk",Pieces of public art,Count individual pieces of art that are within study area or intended for viewing from the sidewalk/path,"Public art: monuments, sculptures, murals, and any artistic display that has free access. Art must be the size of a small person or have clear identification indicating its status as art (creator, dedication, year, materials, etc.)|If the art can be isolated as a specific artistic element of a facade, the building counts as one instance of public art|If the art is in someone's property, but it is visible to the passing pedestrian and it has free access, it can be considered public art|Small fountains and graffiti murals would be included, but simple chalk drawings and graffiti tags would not be included",https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__180.jpg
1,Street Width,Estimate the street width,"Street width includes frontage roads and parking aisles. Assume that a typical parking lane is 8 feet (2.43 meters) and a typical travel lane is 12 feet (3.65 meters)|If the median between a one-way pair is more than 50 feet (15.24 m) wide, treat each couple as separate streets. Only consider the width of the adjacent half street",Sidewalk Width,Estimate the total sidewalk width for each side of the street,"If the sidewalk width varies, estimate the average width|Put a zero if you cannot see the sidewalk",Pieces of public art,Count individual pieces of art that are within study area or intended for viewing from the sidewalk/path,"Public art: monuments, sculptures, murals, and any artistic display that has free access. Art must be the size of a small person or have clear identification indicating its status as art (creator, dedication, year, materials, etc.)|If the art can be isolated as a specific artistic element of a facade, the building counts as one instance of public art|If the art is in someone's property, but it is visible to the passing pedestrian and it has free access, it can be considered public art|Small fountains and graffiti murals would be included, but simple chalk drawings and graffiti tags would not be included",https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__930__0.jpg
